,Report_Date,Cases,Deaths,Recovered,Country,Incremental_Cases,CaseRate,Incremental_Deaths,DeathRate,RollingCases_last7,RollingDeaths_last7
2,2020-03-15,1140,21,21,UK,0.0,0.0,0.0,0.0,,
3,2020-03-16,1543,55,55,UK,403.0,0.35350877192982455,34.0,1.619047619047619,,
4,2020-03-17,1950,55,55,UK,407.0,0.26377187297472454,0.0,0.0,,
5,2020-03-18,2626,71,71,UK,676.0,0.3466666666666667,16.0,0.2909090909090909,,
6,2020-03-19,2689,137,137,UK,63.0,0.02399086062452399,66.0,0.9295774647887324,,
7,2020-03-20,3983,177,177,UK,1294.0,0.48121978430643364,40.0,0.291970802919708,455.0,24.142857142857142
8,2020-03-21,5018,233,233,UK,1035.0,0.25985438111975895,56.0,0.3163841807909605,554.0,30.285714285714285
9,2020-03-22,5683,281,281,UK,665.0,0.13252291749701076,48.0,0.20600858369098712,649.0,37.142857142857146
10,2020-03-23,6650,335,335,UK,967.0,0.17015660742565547,54.0,0.19217081850533807,729.5714285714286,40.0
11,2020-03-24,8077,422,422,UK,1427.0,0.21458646616541355,87.0,0.25970149253731345,875.2857142857143,52.42857142857143
12,2020-03-25,9529,465,465,UK,1452.0,0.17976971647889067,43.0,0.1018957345971564,986.1428571428571,56.285714285714285
13,2020-03-26,11658,578,578,UK,2129.0,0.22342323433728617,113.0,0.24301075268817204,1281.2857142857142,63.0
14,2020-03-27,14543,759,759,UK,2885.0,0.2474695488076857,181.0,0.31314878892733566,1508.5714285714287,83.14285714285714
15,2020-03-28,17089,1019,1019,UK,2546.0,0.17506704256343258,260.0,0.3425559947299078,1724.4285714285713,112.28571428571429
16,2020-03-29,19522,1228,1228,UK,2433.0,0.14237228626601908,209.0,0.20510304219823355,1977.0,135.28571428571428
17,2020-03-30,22141,1408,1408,UK,2619.0,0.13415633644093844,180.0,0.1465798045602606,2213.0,153.28571428571428
18,2020-03-31,25150,1789,1789,UK,3009.0,0.13590172078948556,381.0,0.2705965909090909,2439.0,195.28571428571428
19,2020-04-01,29474,2352,2352,UK,4324.0,0.17192842942345923,563.0,0.31470095025153716,2849.285714285714,269.57142857142856
